date,currency,index,prev_index,daily_change_pct,base_date,pairs_count,calculation_method
2026-02-24,EUR,100.0,,,2026-02-24,10,geometric_mean
2026-02-25,EUR,100.1381,100.0,0.1381,2026-02-24,10,geometric_mean
2026-02-26,EUR,100.0186,100.1381,-0.1194,2026-02-24,10,geometric_mean
2026-02-27,EUR,100.0351,100.0186,0.0165,2026-02-24,10,geometric_mean
2026-02-28,EUR,100.0974,100.0351,0.0623,2026-02-24,10,geometric_mean
2026-03-01,EUR,100.0974,100.0974,-0.0,2026-02-24,10,geometric_mean
2026-03-02,EUR,100.1366,100.0974,0.0392,2026-02-24,10,geometric_mean
2026-03-03,EUR,100.4465,100.1366,0.3095,2026-02-24,10,geometric_mean
2026-03-04,EUR,100.4833,100.4465,0.0367,2026-02-24,10,geometric_mean
2026-03-05,EUR,100.4833,100.4833,0.0,2026-02-24,10,geometric_mean
2026-03-06,EUR,100.714,100.4833,0.2296,2026-02-24,10,geometric_mean
2026-03-07,EUR,100.5571,100.714,-0.1558,2026-02-24,10,geometric_mean
2026-03-08,EUR,100.7496,100.5571,0.1914,2026-02-24,10,geometric_mean
2026-02-24,USD,100.0,,,2026-02-24,10,geometric_mean
2026-02-25,USD,100.1717,100.0,0.1717,2026-02-24,10,geometric_mean
2026-02-26,USD,100.355,100.1717,0.183,2026-02-24,10,geometric_mean
2026-02-27,USD,100.1669,100.355,-0.1874,2026-02-24,10,geometric_mean
2026-02-28,USD,100.305,100.1669,0.1379,2026-02-24,10,geometric_mean
2026-03-01,USD,100.305,100.305,0.0,2026-02-24,10,geometric_mean
2026-03-02,USD,100.1553,100.305,-0.1492,2026-02-24,10,geometric_mean
2026-03-03,USD,99.6384,100.1553,-0.5161,2026-02-24,10,geometric_mean
2026-03-04,USD,98.7509,99.6384,-0.8908,2026-02-24,10,geometric_mean
2026-03-05,USD,98.7509,98.7509,-0.0,2026-02-24,10,geometric_mean
2026-03-06,USD,99.2136,98.7509,0.4685,2026-02-24,10,geometric_mean
2026-03-07,USD,99.0194,99.2136,-0.1957,2026-02-24,10,geometric_mean
2026-03-08,USD,99.1858,99.0194,0.168,2026-02-24,10,geometric_mean
2026-02-24,GBP,100.0,,,2026-02-24,10,geometric_mean
2026-02-25,GBP,100.0541,100.0,0.0541,2026-02-24,10,geometric_mean
2026-02-26,GBP,99.8327,100.0541,-0.2213,2026-02-24,10,geometric_mean
2026-02-27,GBP,100.2677,99.8327,0.4358,2026-02-24,10,geometric_mean
2026-02-28,GBP,100.3799,100.2677,0.1119,2026-02-24,10,geometric_mean
2026-03-01,GBP,100.3799,100.3799,-0.0,2026-02-24,10,geometric_mean
2026-03-02,GBP,100.6079,100.3799,0.2271,2026-02-24,10,geometric_mean
2026-03-03,GBP,100.3714,100.6079,-0.2351,2026-02-24,10,geometric_mean
2026-03-04,GBP,100.0922,100.3714,-0.2782,2026-02-24,10,geometric_mean
2026-03-05,GBP,100.0922,100.0922,-0.0,2026-02-24,10,geometric_mean
2026-03-06,GBP,100.3306,100.0922,0.2382,2026-02-24,10,geometric_mean
2026-03-07,GBP,100.0683,100.3306,-0.2614,2026-02-24,10,geometric_mean
2026-03-08,GBP,99.8409,100.0683,-0.2273,2026-02-24,10,geometric_mean
2026-02-24,JPY,100.0,,,2026-02-24,10,geometric_mean
2026-02-25,JPY,100.5908,100.0,0.5908,2026-02-24,10,geometric_mean
2026-02-26,JPY,101.0245,100.5908,0.4312,2026-02-24,10,geometric_mean
2026-02-27,JPY,100.7582,101.0245,-0.2636,2026-02-24,10,geometric_mean
2026-02-28,JPY,101.0657,100.7582,0.3052,2026-02-24,10,geometric_mean
2026-03-01,JPY,101.0657,101.0657,0.0,2026-02-24,10,geometric_mean
2026-03-02,JPY,101.122,101.0657,0.0557,2026-02-24,10,geometric_mean
2026-03-03,JPY,101.2264,101.122,0.1032,2026-02-24,10,geometric_mean
2026-03-04,JPY,100.5421,101.2264,-0.676,2026-02-24,10,geometric_mean
2026-03-05,JPY,100.5421,100.5421,-0.0,2026-02-24,10,geometric_mean
2026-03-06,JPY,100.5491,100.5421,0.0069,2026-02-24,10,geometric_mean
2026-03-07,JPY,100.7828,100.5491,0.2324,2026-02-24,10,geometric_mean
2026-03-08,JPY,101.134,100.7828,0.3485,2026-02-24,10,geometric_mean
2026-02-24,CHF,100.0,,,2026-02-24,10,geometric_mean
2026-02-25,CHF,99.8778,100.0,-0.1222,2026-02-24,10,geometric_mean
2026-02-26,CHF,99.8457,99.8778,-0.0322,2026-02-24,10,geometric_mean
2026-02-27,CHF,99.9198,99.8457,0.0742,2026-02-24,10,geometric_mean
2026-02-28,CHF,99.4751,99.9198,-0.445,2026-02-24,10,geometric_mean
2026-03-01,CHF,99.4751,99.4751,0.0,2026-02-24,10,geometric_mean
2026-03-02,CHF,99.2277,99.4751,-0.2487,2026-02-24,10,geometric_mean
2026-03-03,CHF,100.2332,99.2277,1.0133,2026-02-24,10,geometric_mean
2026-03-04,CHF,99.6796,100.2332,-0.5523,2026-02-24,10,geometric_mean
2026-03-05,CHF,99.6796,99.6796,0.0,2026-02-24,10,geometric_mean
2026-03-06,CHF,99.8493,99.6796,0.1702,2026-02-24,10,geometric_mean
2026-03-07,CHF,99.7273,99.8493,-0.1222,2026-02-24,10,geometric_mean
2026-03-08,CHF,99.3611,99.7273,-0.3672,2026-02-24,10,geometric_mean
2026-02-24,AUD,100.0,,,2026-02-24,10,geometric_mean
2026-02-25,AUD,99.8854,100.0,-0.1146,2026-02-24,10,geometric_mean
2026-02-26,AUD,99.5355,99.8854,-0.3503,2026-02-24,10,geometric_mean
2026-02-27,AUD,99.4305,99.5355,-0.1055,2026-02-24,10,geometric_mean
