date,base_currency,quote_currency,rate
2026-02-23,AUD,AUD,1.000000
2026-02-23,AUD,CAD,0.966853
2026-02-23,AUD,CHF,0.545921
2026-02-23,AUD,CNY,4.887099
2026-02-23,AUD,EUR,0.598181
2026-02-23,AUD,GBP,0.523122
2026-02-23,AUD,JPY,109.149462
2026-02-23,AUD,MXN,12.137540
2026-02-23,AUD,NOK,6.728161
2026-02-23,AUD,SEK,6.384739
2026-02-23,AUD,USD,0.707593
2026-02-23,CAD,AUD,1.034283
2026-02-23,CAD,CAD,1.000000
2026-02-23,CAD,CHF,0.564637
2026-02-23,CAD,CNY,5.054643
2026-02-23,CAD,EUR,0.618689
2026-02-23,CAD,GBP,0.541056
2026-02-23,CAD,JPY,112.891437
2026-02-23,CAD,MXN,12.553652
2026-02-23,CAD,NOK,6.958822
2026-02-23,CAD,SEK,6.603627
2026-02-23,CAD,USD,0.731851
2026-02-23,CHF,AUD,1.831767
2026-02-23,CHF,CAD,1.771050
2026-02-23,CHF,CHF,1.000000
2026-02-23,CHF,CNY,8.952024
2026-02-23,CHF,EUR,1.095729
2026-02-23,CHF,GBP,0.958236
2026-02-23,CHF,JPY,199.936331
2026-02-23,CHF,MXN,22.233140
2026-02-23,CHF,NOK,12.324420
2026-02-23,CHF,SEK,11.695351
2026-02-23,CHF,USD,1.296145
2026-02-23,CNY,AUD,0.204620
2026-02-23,CNY,CAD,0.197838
2026-02-23,CNY,CHF,0.111707
2026-02-23,CNY,CNY,1.000000
2026-02-23,CNY,EUR,0.122400
2026-02-23,CNY,GBP,0.107041
2026-02-23,CNY,JPY,22.334204
2026-02-23,CNY,MXN,2.483588
2026-02-23,CNY,NOK,1.376719
2026-02-23,CNY,SEK,1.306448
2026-02-23,CNY,USD,0.144788
2026-02-23,EUR,AUD,1.671734
2026-02-23,EUR,CAD,1.616321
2026-02-23,EUR,CHF,0.912635
2026-02-23,EUR,CNY,8.169928
2026-02-23,EUR,EUR,1.000000
2026-02-23,EUR,GBP,0.874520
2026-02-23,EUR,JPY,182.468842
2026-02-23,EUR,MXN,20.290736
2026-02-23,EUR,NOK,11.247693
2026-02-23,EUR,SEK,10.673584
2026-02-23,EUR,USD,1.182907
2026-02-23,GBP,AUD,1.911602
2026-02-23,GBP,CAD,1.848239
2026-02-23,GBP,CHF,1.043584
2026-02-23,GBP,CNY,9.342187
2026-02-23,GBP,EUR,1.143485
2026-02-23,GBP,GBP,1.000000
2026-02-23,GBP,JPY,208.650307
2026-02-23,GBP,MXN,23.202144
2026-02-23,GBP,NOK,12.861564
2026-02-23,GBP,SEK,12.205078
2026-02-23,GBP,USD,1.352636
2026-02-23,JPY,AUD,0.009162
2026-02-23,JPY,CAD,0.008858
2026-02-23,JPY,CHF,0.005002
2026-02-23,JPY,CNY,0.044774
2026-02-23,JPY,EUR,0.005480
2026-02-23,JPY,GBP,0.004793
2026-02-23,JPY,JPY,1.000000
2026-02-23,JPY,MXN,0.111201
2026-02-23,JPY,NOK,0.061642
2026-02-23,JPY,SEK,0.058495
2026-02-23,JPY,USD,0.006483
2026-02-23,MXN,AUD,0.082389
2026-02-23,MXN,CAD,0.079658
2026-02-23,MXN,CHF,0.044978
2026-02-23,MXN,CNY,0.402643
2026-02-23,MXN,EUR,0.049284
2026-02-23,MXN,GBP,0.043099
2026-02-23,MXN,JPY,8.992717
2026-02-23,MXN,MXN,1.000000
2026-02-23,MXN,NOK,0.554327
2026-02-23,MXN,SEK,0.526032
2026-02-23,MXN,USD,0.058298
2026-02-23,NOK,AUD,0.148629
2026-02-23,NOK,CAD,0.143702
2026-02-23,NOK,CHF,0.081140
2026-02-23,NOK,CNY,0.726365
2026-02-23,NOK,EUR,0.088907
2026-02-23,NOK,GBP,0.077751
2026-02-23,NOK,JPY,16.222779
2026-02-23,NOK,MXN,1.803991
2026-02-23,NOK,NOK,1.000000
2026-02-23,NOK,SEK,0.948958
2026-02-23,NOK,USD,0.105169
2026-02-23,SEK,AUD,0.156623
2026-02-23,SEK,CAD,0.151432
2026-02-23,SEK,CHF,0.085504
2026-02-23,SEK,CNY,0.765434
2026-02-23,SEK,EUR,0.093689
2026-02-23,SEK,GBP,0.081933
2026-02-23,SEK,JPY,17.095368
2026-02-23,SEK,MXN,1.901024
2026-02-23,SEK,NOK,1.053788
2026-02-23,SEK,SEK,1.000000
2026-02-23,SEK,USD,0.110826
2026-02-23,USD,AUD,1.413242
2026-02-23,USD,CAD,1.366398
2026-02-23,USD,CHF,0.771519
2026-02-23,USD,CNY,6.906654
2026-02-23,USD,EUR,0.845375
2026-02-23,USD,GBP,0.739297
2026-02-23,USD,JPY,154.254628
2026-02-23,USD,MXN,17.153284
2026-02-23,USD,NOK,9.508521
2026-02-23,USD,SEK,9.023182
2026-02-23,USD,USD,1.000000
