date,base_currency,EUR,USD,GBP,JPY,CHF,AUD,CAD,NOK,SEK,CNY,MXN
2026-02-24,EUR,1.000000,1.178350,0.873002,182.626309,0.913497,1.667303,1.614433,11.269782,10.682568,8.127018,20.329037
2026-02-24,USD,0.848644,1.000000,0.740868,154.984784,0.775234,1.414947,1.370080,9.564037,9.065701,6.896948,17.252123
2026-02-24,GBP,1.145473,1.349768,1.000000,209.193504,1.046387,1.909851,1.849290,12.909231,12.236593,9.309279,23.286363
2026-02-24,JPY,0.005476,0.006452,0.004780,1.000000,0.005002,0.009130,0.008840,0.061710,0.058494,0.044501,0.111315
2026-02-24,CHF,1.094694,1.289933,0.955670,199.919914,1.000000,1.825187,1.767310,12.336962,11.694143,8.896597,22.254074
2026-02-24,AUD,0.599771,0.706740,0.523601,109.533960,0.547889,1.000000,0.968290,6.759288,6.407094,4.874349,12.192767
2026-02-24,CAD,0.619412,0.729885,0.540748,113.121009,0.565832,1.032748,1.000000,6.980643,6.616916,5.033976,12.592059
2026-02-24,NOK,0.088733,0.104558,0.077464,16.204955,0.081057,0.147945,0.143253,1.000000,0.947895,0.721134,1.803854
2026-02-24,SEK,0.093610,0.110306,0.081722,17.095730,0.085513,0.156077,0.151128,1.054969,1.000000,0.760774,1.903010
2026-02-24,CNY,0.123046,0.144992,0.107420,22.471503,0.112403,0.205156,0.198650,1.386706,1.314451,1.000000,2.501414
2026-02-24,MXN,0.049191,0.057964,0.042944,8.983520,0.044936,0.082016,0.079415,0.554369,0.525483,0.399774,1.000000
2026-02-25,EUR,1.000000,1.178709,0.872335,183.375762,0.911338,1.663477,1.613875,11.255194,10.643856,8.100280,20.243625
2026-02-25,USD,0.848386,1.000000,0.740077,155.573408,0.773166,1.411270,1.369189,9.548748,9.030097,6.872163,17.174405
2026-02-25,GBP,1.146348,1.351211,1.000000,210.212453,1.044710,1.906923,1.850063,12.902370,12.201563,9.285741,23.206240
2026-02-25,JPY,0.005453,0.006428,0.004757,1.000000,0.004970,0.009071,0.008801,0.061378,0.058044,0.044173,0.110394
2026-02-25,CHF,1.097288,1.293383,0.957203,201.216077,1.000000,1.825314,1.770886,12.350193,11.679378,8.888343,22.213092
2026-02-25,AUD,0.601151,0.708582,0.524405,110.236446,0.547851,1.000000,0.970182,6.766066,6.398560,4.869488,12.169467
2026-02-25,CAD,0.619627,0.730359,0.540522,113.624495,0.564689,1.030734,1.000000,6.974017,6.595216,5.019149,12.543488
2026-02-25,NOK,0.088848,0.104726,0.077505,16.292546,0.080970,0.147796,0.143389,1.000000,0.945684,0.719693,1.798603
2026-02-25,SEK,0.093951,0.110741,0.081957,17.228321,0.085621,0.156285,0.151625,1.057436,1.000000,0.761029,1.901907
2026-02-25,CNY,0.123453,0.145515,0.107692,22.638200,0.112507,0.205360,0.199237,1.389482,1.314011,1.000000,2.499126
2026-02-25,MXN,0.049398,0.058226,0.043092,9.058445,0.045018,0.082173,0.079723,0.555987,0.525788,0.400140,1.000000
2026-02-26,EUR,1.000000,1.181953,0.871527,184.292788,0.912062,1.659981,1.615515,11.280501,10.661484,8.091094,20.297684
2026-02-26,USD,0.846058,1.000000,0.737362,155.922324,0.771657,1.404440,1.366819,9.543954,9.020230,6.845532,17.173011
2026-02-26,GBP,1.147412,1.356186,1.000000,211.459738,1.046510,1.904682,1.853661,12.943381,12.233114,9.283817,23.289804
2026-02-26,JPY,0.005426,0.006413,0.004729,1.000000,0.004949,0.009007,0.008766,0.061210,0.057851,0.043903,0.110138
2026-02-26,CHF,1.096417,1.295913,0.955557,202.061789,1.000000,1.820032,1.771278,12.368135,11.689435,8.871215,22.254731
2026-02-26,AUD,0.602416,0.712028,0.525022,111.021005,0.549441,1.000000,0.973213,6.795559,6.422653,4.874208,12.227659
2026-02-26,CAD,0.618998,0.731626,0.539473,114.076810,0.564564,1.027525,1.000000,6.982604,6.599434,5.008368,12.564220
2026-02-26,NOK,0.088649,0.104778,0.077260,16.337288,0.080853,0.147155,0.143213,1.000000,0.945125,0.717264,1.799360
2026-02-26,SEK,0.093796,0.110862,0.081745,17.285847,0.085547,0.155699,0.151528,1.058061,1.000000,0.758909,1.903833
2026-02-26,CNY,0.123593,0.146081,0.107714,22.777241,0.112724,0.205162,0.199666,1.394187,1.317681,1.000000,2.508645
2026-02-26,MXN,0.049267,0.058231,0.042937,9.079498,0.044934,0.081782,0.079591,0.555753,0.525256,0.398622,1.000000
2026-02-27,EUR,1.000000,1.179761,0.874847,183.823253,0.912540,1.658140,1.613129,11.272108,10.684040,8.092741,20.286359
2026-02-27,USD,0.847629,1.000000,0.741546,155.813935,0.773495,1.405487,1.367335,9.554567,9.056103,6.859642,17.195308
2026-02-27,GBP,1.143057,1.348534,1.000000,210.120405,1.043085,1.895348,1.843898,12.884659,12.212464,9.250462,23.188459
2026-02-27,JPY,0.005440,0.006418,0.004759,1.000000,0.004964,0.009020,0.008775,0.061320,0.058121,0.044025,0.110358
2026-02-27,CHF,1.095843,1.292833,0.958695,201.441336,1.000000,1.817060,1.767736,12.352455,11.708026,8.868369,22.230655
2026-02-27,AUD,0.603086,0.711497,0.527608,110.861149,0.550340,1.000000,0.972855,6.798046,6.443390,4.880615,12.234410
2026-02-27,CAD,0.619913,0.731349,0.542329,113.954443,0.565695,1.027902,1.000000,6.987727,6.623177,5.016796,12.575780
2026-02-27,NOK,0.088715,0.104662,0.077612,16.307797,0.080956,0.147101,0.143108,1.000000,0.947830,0.717944,1.799695
2026-02-27,SEK,0.093598,0.110423,0.081884,17.205406,0.085411,0.155198,0.150985,1.055042,1.000000,0.757461,1.898754
2026-02-27,CNY,0.123568,0.145780,0.108103,22.714586,0.112760,0.204892,0.199330,1.392867,1.320201,1.000000,2.506735
2026-02-27,MXN,0.049294,0.058155,0.043125,9.061422,0.044983,0.081737,0.079518,0.555650,0.526661,0.398925,1.000000
2026-02-28,EUR,1.000000,1.180572,0.875241,184.231343,0.908333,1.657944,1.610839,11.228189,10.661571,8.096589,20.329311
2026-02-28,USD,0.847047,1.000000,0.741371,156.052625,0.769401,1.404356,1.364456,9.510805,9.030853,6.858193,17.219884
2026-02-28,GBP,1.142542,1.348853,1.000000,210.492056,1.037809,1.894270,1.840451,12.828678,12.181293,9.250694,23.227093
2026-02-28,JPY,0.005428,0.006408,0.004751,1.000000,0.004930,0.008999,0.008744,0.060946,0.057871,0.043948,0.110347
2026-02-28,CHF,1.100917,1.299712,0.963568,202.823482,1.000000,1.825259,1.773400,12.361308,11.737509,8.913676,22.380891
2026-02-28,AUD,0.603157,0.712070,0.527908,111.120393,0.547867,1.000000,0.971588,6.772359,6.430600,4.883513,12.261763
2026-02-28,CAD,0.620795,0.732893,0.543345,114.369832,0.563889,1.029243,1.000000,6.970399,6.618646,5.026319,12.620327
2026-02-28,NOK,0.089062,0.105144,0.077950,16.407931,0.080898,0.147659,0.143464,1.000000,0.949536,0.721095,1.810560
2026-02-28,SEK,0.093795,0.110732,0.082093,17.279943,0.085197,0.155506,0.151088,1.053146,1.000000,0.759418,1.906784
2026-02-28,CNY,0.123509,0.145811,0.108100,22.754191,0.112187,0.204771,0.198953,1.386780,1.316798,1.000000,2.510849
2026-02-28,MXN,0.049190,0.058072,0.043053,9.062351,0.044681,0.081554,0.079237,0.552315,0.524443,0.398272,1.000000
2026-03-01,EUR,1.000000,1.180572,0.875241,184.231343,0.908333,1.657944,1.610839,11.228189,10.661571,8.096589,20.329311
2026-03-01,USD,0.847047,1.000000,0.741371,156.052625,0.769401,1.404356,1.364456,9.510805,9.030853,6.858193,17.219884
2026-03-01,GBP,1.142542,1.348853,1.000000,210.492056,1.037809,1.894270,1.840451,12.828678,12.181293,9.250694,23.227093
2026-03-01,JPY,0.005428,0.006408,0.004751,1.000000,0.004930,0.008999,0.008744,0.060946,0.057871,0.043948,0.110347
2026-03-01,CHF,1.100917,1.299712,0.963568,202.823482,1.000000,1.825259,1.773400,12.361308,11.737509,8.913676,22.380891
2026-03-01,AUD,0.603157,0.712070,0.527908,111.120393,0.547867,1.000000,0.971588,6.772359,6.430600,4.883513,12.261763
2026-03-01,CAD,0.620795,0.732893,0.543345,114.369832,0.563889,1.029243,1.000000,6.970399,6.618646,5.026319,12.620327
2026-03-01,NOK,0.089062,0.105144,0.077950,16.407931,0.080898,0.147659,0.143464,1.000000,0.949536,0.721095,1.810560
2026-03-01,SEK,0.093795,0.110732,0.082093,17.279943,0.085197,0.155506,0.151088,1.053146,1.000000,0.759418,1.906784
2026-03-01,CNY,0.123509,0.145811,0.108100,22.754191,0.112187,0.204771,0.198953,1.386780,1.316798,1.000000,2.510849
2026-03-01,MXN,0.049190,0.058072,0.043053,9.062351,0.044681,0.081554,0.079237,0.552315,0.524443,0.398272,1.000000
2026-03-02,EUR,1.000000,1.178550,0.876736,184.258817,0.905956,1.659168,1.608622,11.213911,10.670221,8.095462,20.325248
2026-03-02,USD,0.848500,1.000000,0.743911,156.343683,0.768704,1.407805,1.364916,9.515008,9.053687,6.869003,17.245981
2026-03-02,GBP,1.140594,1.344247,1.000000,210.164501,1.033328,1.892437,1.834784,12.790519,12.170390,9.233635,23.182855
2026-03-02,JPY,0.005427,0.006396,0.004758,1.000000,0.004917,0.009005,0.008730,0.060860,0.057909,0.043935,0.110308
2026-03-02,CHF,1.103806,1.300891,0.967747,203.386024,1.000000,1.831400,1.775607,12.377984,11.777856,8.935821,22.435134
2026-03-02,AUD,0.602712,0.710326,0.528419,111.054954,0.546030,1.000000,0.969535,6.758756,6.431067,4.879230,12.250266
2026-03-02,CAD,0.621650,0.732646,0.545023,114.544524,0.563188,1.031422,1.000000,6.971129,6.633145,5.032545,12.635194
2026-03-02,NOK,0.089175,0.105097,0.078183,16.431272,0.080789,0.147956,0.143449,1.000000,0.951516,0.721912,1.812503
2026-03-02,SEK,0.093719,0.110452,0.082167,17.268510,0.084905,0.155495,0.150758,1.050954,1.000000,0.758697,1.904857
2026-03-02,CNY,0.123526,0.145582,0.108300,22.760755,0.111909,0.204950,0.198707,1.385210,1.318050,1.000000,2.510697
2026-03-02,MXN,0.049200,0.057985,0.043135,9.065514,0.044573,0.081631,0.079144,0.551723,0.524974,0.398296,1.000000
2026-03-03,EUR,1.000000,1.169729,0.872408,183.912949,0.911733,1.646605,1.598161,11.179253,10.715027,8.049691,20.239696
2026-03-03,USD,0.854899,1.000000,0.745821,157.226997,0.779440,1.407681,1.366266,9.557132,9.160266,6.881673,17.302896
2026-03-03,GBP,1.146253,1.340805,1.000000,210.810738,1.045077,1.887426,1.831897,12.814250,12.282130,9.226981,23.199809
2026-03-03,JPY,0.005437,0.006360,0.004744,1.000000,0.004957,0.008953,0.008690,0.060786,0.058261,0.043769,0.110050
2026-03-03,CHF,1.096812,1.282973,0.956868,201.717947,1.000000,1.806017,1.752883,12.261540,11.752371,8.828998,22.199143
2026-03-03,AUD,0.607310,0.710388,0.529822,111.692191,0.553705,1.000000,0.970579,6.789273,6.507344,4.888658,12.291772
2026-03-03,CAD,0.625719,0.731922,0.545882,115.077846,0.570489,1.030312,1.000000,6.995072,6.704597,5.036845,12.664364
2026-03-03,NOK,0.089451,0.104634,0.078038,16.451274,0.081556,0.147291,0.142958,1.000000,0.958474,0.720056,1.810469
2026-03-03,SEK,0.093327,0.109167,0.081419,17.164022,0.085089,0.153673,0.149151,1.043325,1.000000,0.751253,1.888908
2026-03-03,CNY,0.124228,0.145314,0.108378,22.847207,0.113263,0.204555,0.198537,1.388780,1.331110,1.000000,2.514345
2026-03-03,MXN,0.049408,0.057794,0.043104,9.086745,0.045047,0.081355,0.078962,0.552343,0.529407,0.397718,1.000000
2026-03-04,EUR,1.000000,1.159866,0.869912,182.725486,0.906852,1.654396,1.587397,11.236542,10.768122,8.027204,20.531107
2026-03-04,USD,0.862169,1.000000,0.750010,157.540184,0.781860,1.426368,1.368604,9.687794,9.283937,6.920804,17.701277
2026-03-04,GBP,1.149542,1.333315,1.000000,210.050644,1.042465,1.901798,1.824780,12.916879,12.378410,9.227609,23.601373
2026-03-04,JPY,0.005473,0.006348,0.004761,1.000000,0.004963,0.009054,0.008687,0.061494,0.058931,0.043930,0.112360
2026-03-04,CHF,1.102715,1.279002,0.959265,201.494168,1.000000,1.824327,1.750447,12.390706,11.874172,8.851720,22.639963
2026-03-04,AUD,0.604450,0.701081,0.525818,110.448464,0.548147,1.000000,0.959503,6.791931,6.508794,4.852045,12.410033
2026-03-04,CAD,0.629962,0.730672,0.548011,115.110123,0.571283,1.042207,1.000000,7.078595,6.783508,5.056834,12.933818
2026-03-04,NOK,0.088995,0.103223,0.077418,16.261719,0.080706,0.147234,0.141271,1.000000,0.958313,0.714384,1.827173
2026-03-04,SEK,0.092867,0.107713,0.080786,16.969113,0.084216,0.153638,0.147416,1.043501,1.000000,0.745460,1.906656
2026-03-04,CNY,0.124576,0.144492,0.108370,22.763279,0.112972,0.206099,0.197752,1.399808,1.341454,1.000000,2.557691
2026-03-04,MXN,0.048707,0.056493,0.042370,8.899933,0.044170,0.080580,0.077317,0.547294,0.524478,0.390978,1.000000
2026-03-05,EUR,1.000000,1.159866,0.869912,182.725486,0.906852,1.654396,1.587397,11.236542,10.768122,8.027204,20.531107
2026-03-05,USD,0.862169,1.000000,0.750010,157.540184,0.781860,1.426368,1.368604,9.687794,9.283937,6.920804,17.701277
2026-03-05,GBP,1.149542,1.333315,1.000000,210.050644,1.042465,1.901798,1.824780,12.916879,12.378410,9.227609,23.601373
2026-03-05,JPY,0.005473,0.006348,0.004761,1.000000,0.004963,0.009054,0.008687,0.061494,0.058931,0.043930,0.112360
