date,generator_id,estimator_id,currency,signal_count,penalty_factor,base_signal,aggregate_signal
2026-02-25,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,AUD,3,0.8614,0.12,0.1034
2026-02-25,llm-sentiment-v1-haiku,llm-horizon-v1-default,AUD,3,0.8614,0.56,0.4824
2026-02-25,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CAD,1,0.4307,-0.448,-0.1929
2026-02-25,llm-sentiment-v1-haiku,llm-horizon-v1-default,CAD,1,0.4307,-0.56,-0.2412
2026-02-25,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CHF,1,0.4307,0.36,0.155
2026-02-25,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CNY,3,0.8614,0.36,0.3101
2026-02-25,llm-sentiment-v1-haiku,llm-horizon-v1-default,CNY,7,1.0,0.22,0.22
2026-02-25,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,EUR,10,1.0,-0.236,-0.236
2026-02-25,llm-sentiment-v1-haiku,llm-horizon-v1-default,EUR,7,1.0,-0.22,-0.22
2026-02-25,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,GBP,5,1.0,-0.1556,-0.1556
2026-02-25,llm-sentiment-v1-haiku,llm-horizon-v1-default,GBP,5,1.0,-0.112,-0.112
2026-02-25,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,JPY,3,0.8614,-0.34,-0.2929
2026-02-25,llm-sentiment-v1-haiku,llm-horizon-v1-default,JPY,3,0.8614,0.1867,0.1608
2026-02-25,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,SEK,2,0.6826,-0.495,-0.3379
2026-02-25,llm-sentiment-v1-haiku,llm-horizon-v1-default,SEK,1,0.4307,-0.56,-0.2412
2026-02-25,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,USD,22,1.0,-0.2705,-0.2705
2026-02-25,llm-sentiment-v1-haiku,llm-horizon-v1-default,USD,36,1.0,-0.1222,-0.1222
2026-02-26,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,AUD,3,0.8614,0.34,0.2929
2026-02-26,llm-sentiment-v1-haiku,llm-horizon-v1-default,AUD,5,1.0,0.56,0.56
2026-02-26,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CAD,2,0.6826,-0.404,-0.2758
2026-02-26,llm-sentiment-v1-haiku,llm-horizon-v1-default,CAD,3,0.8614,0.1633,0.1407
2026-02-26,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CHF,1,0.4307,0.36,0.155
2026-02-26,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CNY,3,0.8614,0.36,0.3101
2026-02-26,llm-sentiment-v1-haiku,llm-horizon-v1-default,CNY,8,1.0,0.1312,0.1312
2026-02-26,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,EUR,9,1.0,0.0717,0.0717
2026-02-26,llm-sentiment-v1-haiku,llm-horizon-v1-default,EUR,10,1.0,0.056,0.056
