date,strategy_id,buy_currency,sell_currency,buy_confidence,sell_confidence,trade_confidence,above_threshold,max_trade_size_pct
2026-02-24,simple-momentum-conf0.5-size0.25,AUD,CHF,0.3292,-0.7667,0.5479,True,0.1
2026-02-24,simple-momentum-conf0.5-size0.25,JPY,GBP,0.3,-0.4075,0.3538,True,0.1
2026-02-24,simple-momentum-conf0.5-size0.25,CNY,CAD,0.2667,-0.1067,0.1867,True,0.1
2026-02-24,simple-momentum-conf0.5-size0.5,AUD,CHF,0.3292,-0.7667,0.5479,True,0.25
2026-02-24,simple-momentum-conf0.5-size0.5,JPY,GBP,0.3,-0.4075,0.3538,True,0.25
2026-02-24,simple-momentum-conf0.5-size0.5,CNY,CAD,0.2667,-0.1067,0.1867,True,0.25
2026-02-24,simple-momentum-conf0.5-size0.75,AUD,CHF,0.3292,-0.7667,0.5479,True,0.5
2026-02-24,simple-momentum-conf0.5-size0.75,JPY,GBP,0.3,-0.4075,0.3538,True,0.5
2026-02-24,simple-momentum-conf0.5-size0.75,CNY,CAD,0.2667,-0.1067,0.1867,True,0.5
2026-02-24,simple-momentum-conf0.6-size0.25,AUD,CHF,0.3292,-0.7667,0.5479,False,0.1
2026-02-24,simple-momentum-conf0.6-size0.25,JPY,GBP,0.3,-0.4075,0.3538,False,0.1
2026-02-24,simple-momentum-conf0.6-size0.25,CNY,CAD,0.2667,-0.1067,0.1867,False,0.1
2026-02-24,simple-momentum-conf0.6-size0.5,AUD,CHF,0.3292,-0.7667,0.5479,False,0.25
2026-02-24,simple-momentum-conf0.6-size0.5,JPY,GBP,0.3,-0.4075,0.3538,False,0.25
2026-02-24,simple-momentum-conf0.6-size0.5,CNY,CAD,0.2667,-0.1067,0.1867,False,0.25
2026-02-24,simple-momentum-conf0.6-size0.75,AUD,CHF,0.3292,-0.7667,0.5479,False,0.5
2026-02-24,simple-momentum-conf0.6-size0.75,JPY,GBP,0.3,-0.4075,0.3538,False,0.5
2026-02-24,simple-momentum-conf0.6-size0.75,CNY,CAD,0.2667,-0.1067,0.1867,False,0.5
2026-02-24,simple-momentum-conf0.7-size0.25,AUD,CHF,0.3292,-0.7667,0.5479,True,0.1
2026-02-24,simple-momentum-conf0.7-size0.25,JPY,GBP,0.3,-0.4075,0.3538,True,0.1
2026-02-24,simple-momentum-conf0.7-size0.25,CNY,CAD,0.2667,-0.1067,0.1867,False,0.1
2026-02-24,simple-momentum-conf0.7-size0.5,AUD,CHF,0.3292,-0.7667,0.5479,True,0.25
2026-02-24,simple-momentum-conf0.7-size0.5,JPY,GBP,0.3,-0.4075,0.3538,True,0.25
2026-02-24,simple-momentum-conf0.7-size0.5,CNY,CAD,0.2667,-0.1067,0.1867,False,0.25
2026-02-24,simple-momentum-conf0.7-size0.75,AUD,CHF,0.3292,-0.7667,0.5479,True,0.5
2026-02-24,simple-momentum-conf0.7-size0.75,JPY,GBP,0.3,-0.4075,0.3538,True,0.5
2026-02-24,simple-momentum-conf0.7-size0.75,CNY,CAD,0.2667,-0.1067,0.1867,False,0.5
