date,strategy_id,trader_id,trades_executed,eur_acc_val,usd_acc_val,gbp_acc_val,jpy_acc_val,chf_acc_val,aud_acc_val,cad_acc_val,nok_acc_val,sek_acc_val,cny_acc_val,mxn_acc_val
2026-03-07,momentum-T1-size5,combinator-standard,1,100.0,121.5484,84.3413,18262.6309,87.5088,171.0289,163.8444,1145.7337,987.9517,861.8409,2032.9037
2026-03-07,momentum-T1-size10,combinator-standard,1,100.0,125.2197,81.4335,18262.6309,83.7766,175.3274,166.1144,1163.8352,912.8204,907.0973,2032.9037
2026-03-07,momentum-T1-size25,combinator-standard,1,100.0,135.9808,73.0161,18262.6309,73.2154,188.223,172.1652,1214.2161,715.7525,1021.6081,2032.9037
2026-03-07,momentum-T1-size50,combinator-standard,1,100.0,153.0733,60.0071,18262.6309,57.64,209.7157,179.8796,1285.105,467.1185,1152.5429,2032.9037
2026-03-07,momentum-T2-size5,combinator-standard,2,101.9573,123.2132,82.9341,18262.6309,81.6342,171.0289,170.4617,1145.7337,932.2327,907.3322,2032.9037
2026-03-07,momentum-T2-size10,combinator-standard,2,103.802,128.0264,78.7161,18262.6309,72.8507,175.3274,178.0633,1163.8352,812.0537,993.0159,2032.9037
2026-03-07,momentum-T2-size25,combinator-standard,2,108.6989,139.6936,66.9247,18262.6309,51.3231,188.223,193.9596,1214.2161,530.6491,1202.6019,2032.9037
2026-03-07,momentum-T2-size50,combinator-standard,2,114.9519,152.8176,49.9949,18262.6309,27.7331,209.7157,204.7381,1285.105,250.482,1425.4384,2032.9037
2026-03-07,momentum-T4-size5,combinator-standard,4,101.9573,127.2076,79.8827,18398.7658,72.8278,176.9047,178.2282,1159.7474,863.3979,955.217,2025.8739
2026-03-07,momentum-T4-size10,combinator-standard,4,103.802,134.0939,72.9932,18529.3317,57.8912,186.1826,191.0726,1185.2974,695.8552,1083.535,2013.1708
2026-03-07,momentum-T4-size25,combinator-standard,4,108.6989,144.2725,55.1986,18888.4499,28.546,209.625,213.4831,1231.8187,357.8716,1397.1971,1948.3169
2026-03-07,momentum-T4-size50,combinator-standard,4,114.9519,143.496,33.5311,19383.3871,8.2155,238.3238,223.8864,1255.6616,110.7483,1748.5114,1784.9781
2026-03-07,momentum-T6-size5,combinator-standard,6,103.511,130.8672,77.6003,18254.1265,68.1708,181.1522,179.9719,1183.4048,790.32,993.5036,2025.4525
2026-03-07,momentum-T6-size10,combinator-standard,6,106.6751,139.9074,68.8522,18163.9769,50.6848,194.3012,191.4439,1218.9839,582.3847,1156.5776,2011.6529
2026-03-07,momentum-T6-size25,combinator-standard,6,114.3469,151.77,47.5411,17587.3837,20.3518,227.5722,200.3905,1255.4872,227.3075,1559.5309,1941.4266
2026-03-07,momentum-T6-size50,combinator-standard,6,122.3769,149.7272,24.5747,16213.9017,4.0872,268.6137,182.1661,1236.8938,43.2773,2033.2781,1769.154
2026-03-07,haiku-T1-size20,haiku-only,1,100.0,135.9172,78.9927,18262.6309,73.0037,189.3601,178.9039,1126.9782,651.3091,1039.2708,2032.9037
2026-03-07,haiku-T1-size40,haiku-only,1,100.0,150.7196,70.6852,18262.6309,57.4836,210.3332,184.9735,1126.9782,381.5844,1219.3299,2032.9037
2026-03-07,haiku-T1-size60,haiku-only,1,100.0,163.1303,62.3777,18262.6309,44.4942,229.6493,184.5062,1126.9782,213.2634,1358.9578,2032.9037
2026-03-07,haiku-T1-size80,haiku-only,1,100.0,173.8897,54.0703,18262.6309,33.7561,247.3084,180.8187,1126.9782,112.6167,1463.8846,2032.9037
2026-03-08,momentum-T1-size5,combinator-standard,1,100.0,121.5484,84.3413,18262.6309,86.1327,171.0289,163.8444,1162.5828,987.9517,861.8409,2032.9037
2026-03-08,momentum-T1-size10,combinator-standard,1,100.0,125.2197,81.4335,18262.6309,81.1418,175.3274,166.1144,1196.0961,912.8204,907.0973,2032.9037
2026-03-08,momentum-T1-size25,combinator-standard,1,100.0,135.9808,73.0161,18262.6309,67.4588,188.223,172.1652,1284.7011,715.7525,1021.6081,2032.9037
2026-03-08,momentum-T1-size50,combinator-standard,1,100.0,153.0733,60.0071,18262.6309,48.5761,209.7157,179.8796,1396.0859,467.1185,1152.5429,2032.9037
2026-03-08,momentum-T2-size5,combinator-standard,2,101.9573,123.2132,82.9341,18262.6309,80.3505,171.0289,170.4617,1178.1653,932.2327,907.3322,2001.5665
2026-03-08,momentum-T2-size10,combinator-standard,2,103.802,128.0264,78.7161,18262.6309,70.5595,175.3274,178.0633,1225.316,812.0537,993.0159,1970.2293
2026-03-08,momentum-T2-size25,combinator-standard,2,108.6989,139.6936,66.9247,18262.6309,47.2878,188.223,193.9596,1347.1932,530.6491,1202.6019,1876.2176
2026-03-08,momentum-T2-size50,combinator-standard,2,114.9519,152.8176,49.9949,18262.6309,23.3721,209.7157,204.7381,1505.6387,250.482,1425.4384,1719.5316
2026-03-08,momentum-T4-size5,combinator-standard,4,101.9573,127.2076,79.8827,18398.7658,70.6479,176.9047,180.0216,1204.1534,850.1534,955.217,1994.6451
2026-03-08,momentum-T4-size10,combinator-standard,4,103.802,134.0939,72.9932,18529.3317,54.4517,186.1826,193.8783,1262.8208,674.5064,1083.535,1951.1047
2026-03-08,momentum-T4-size25,combinator-standard,4,108.6989,144.2725,55.1986,18888.4499,24.4033,209.625,216.7733,1367.8412,330.4228,1397.1971,1798.1504
2026-03-08,momentum-T4-size50,combinator-standard,4,114.9519,143.496,33.5311,19383.3871,5.9242,238.3238,225.6186,1435.8412,93.7595,1748.5114,1509.8237
2026-03-08,momentum-T6-size5,combinator-standard,6,103.511,130.8672,77.6003,18254.1265,66.1302,181.1522,185.3814,1225.7487,767.2628,993.5036,1966.0616
2026-03-08,momentum-T6-size10,combinator-standard,6,106.6751,139.9074,68.8522,18163.9769,47.6735,194.3012,200.3859,1290.0991,548.6542,1156.5776,1894.5564
2026-03-08,momentum-T6-size25,combinator-standard,6,114.3469,151.77,47.5411,17587.3837,17.3982,227.5722,214.4532,1372.9582,195.1294,1559.5309,1665.2459
2026-03-08,momentum-T6-size50,combinator-standard,6,122.3769,149.7272,24.5747,16213.9017,2.9473,268.6137,199.7412,1397.0961,31.4909,2033.2781,1285.0669
2026-03-08,haiku-T1-size20,haiku-only,1,100.0,135.9172,78.9927,19111.279,73.0037,189.3601,178.9039,1126.9782,601.5751,1039.2708,2032.9037
2026-03-08,haiku-T1-size40,haiku-only,1,100.0,150.7196,70.6852,19257.0308,57.4836,210.3332,184.9735,1126.9782,323.3088,1219.3299,2032.9037
2026-03-08,haiku-T1-size60,haiku-only,1,100.0,163.1303,62.3777,19096.27,44.4942,229.6493,184.5062,1126.9782,164.409,1358.9578,2032.9037
2026-03-08,haiku-T1-size80,haiku-only,1,100.0,173.8897,54.0703,18849.5838,33.7561,247.3084,180.8187,1126.9782,78.2191,1463.8846,2032.9037
2026-03-09,momentum-T1-size5,combinator-standard,1,100.0,121.5484,84.3413,18262.6309,84.7783,171.0289,163.8444,1179.1669,987.9517,861.8409,2032.9037
2026-03-09,momentum-T1-size10,combinator-standard,1,100.0,125.2197,81.4335,18262.6309,78.5899,175.3274,166.1144,1227.3424,912.8204,907.0973,2032.9037
2026-03-09,momentum-T1-size25,combinator-standard,1,100.0,135.9808,73.0161,18262.6309,62.1549,188.223,172.1652,1349.6442,715.7525,1021.6081,2032.9037
2026-03-09,momentum-T1-size50,combinator-standard,1,100.0,153.0733,60.0071,18262.6309,40.9375,209.7157,179.8796,1489.615,467.1185,1152.5429,2032.9037
2026-03-09,momentum-T2-size5,combinator-standard,2,101.9573,123.2132,82.9341,18262.6309,79.087,171.0289,170.4617,1210.0921,932.2327,907.3322,1970.7124
2026-03-09,momentum-T2-size10,combinator-standard,2,103.802,128.0264,78.7161,18262.6309,68.3404,175.3274,178.0633,1284.8839,812.0537,993.0159,1909.4871
2026-03-09,momentum-T2-size25,combinator-standard,2,108.6989,139.6936,66.9247,18262.6309,43.5698,188.223,193.9596,1469.8445,530.6491,1202.6019,1731.6081
2026-03-09,momentum-T2-size50,combinator-standard,2,114.9519,152.8176,49.9949,18262.6309,19.6968,209.7157,204.7381,1692.0117,250.482,1425.4384,1454.4658
2026-03-09,momentum-T4-size5,combinator-standard,4,101.9573,127.2076,79.8827,18605.7993,68.5099,176.9047,180.0216,1247.6723,837.112,955.217,1963.8976
2026-03-09,momentum-T4-size10,combinator-standard,4,103.802,134.0939,72.9932,18843.3742,51.1813,186.1826,193.8783,1337.3203,653.8125,1083.535,1890.9521
2026-03-09,momentum-T4-size25,combinator-standard,4,108.6989,144.2725,55.1986,19223.1685,20.8241,209.625,216.7733,1491.5203,305.0794,1397.1971,1659.558
2026-03-09,momentum-T4-size50,combinator-standard,4,114.9519,143.496,33.5311,19532.0331,4.2552,238.3238,225.6186,1586.286,79.3768,1748.5114,1277.0844
2026-03-09,momentum-T6-size5,combinator-standard,6,103.511,130.8672,77.6003,18879.1414,64.1289,181.1522,185.3814,1266.8449,744.6252,993.5036,1907.7638
2026-03-09,momentum-T6-size10,combinator-standard,6,106.6751,139.9074,68.8522,19166.2688,44.8102,194.3012,200.3859,1357.0566,516.521,1156.5776,1783.0458
2026-03-09,momentum-T6-size25,combinator-standard,6,114.3469,151.77,47.5411,19022.8062,14.8465,227.5722,214.4532,1473.6745,167.2048,1559.5309,1425.7794
2026-03-09,momentum-T6-size50,combinator-standard,6,122.3769,149.7272,24.5747,17733.3847,2.1169,268.6137,199.7412,1513.4302,22.8251,2033.2781,929.7974
2026-03-09,haiku-T1-size20,haiku-only,1,100.0,135.9172,78.9927,19966.9801,73.0037,189.3601,178.9039,1126.9782,551.4278,1039.2708,2032.9037
2026-03-09,haiku-T1-size40,haiku-only,1,100.0,150.7196,70.6852,20176.8019,57.4836,210.3332,184.9735,1126.9782,269.4068,1219.3299,2032.9037
2026-03-09,haiku-T1-size60,haiku-only,1,100.0,163.1303,62.3777,19797.8531,44.4942,229.6493,184.5062,1126.9782,123.2936,1358.9578,2032.9037
2026-03-09,haiku-T1-size80,haiku-only,1,100.0,173.8897,54.0703,19294.63,33.7561,247.3084,180.8187,1126.9782,52.1377,1463.8846,2032.9037
2026-03-10,momentum-T1-size5,combinator-standard,1,100.0,121.5484,84.3413,18511.7628,84.7783,171.0289,163.8444,1179.1669,987.9517,861.8409,2004.4532
2026-03-10,momentum-T1-size10,combinator-standard,1,100.0,125.2197,81.4335,18760.8948,78.5899,175.3274,166.1144,1227.3424,912.8204,907.0973,1976.0027
2026-03-10,momentum-T1-size25,combinator-standard,1,100.0,135.9808,73.0161,19508.2906,62.1549,188.223,172.1652,1349.6442,715.7525,1021.6081,1890.6513
2026-03-10,momentum-T1-size50,combinator-standard,1,100.0,153.0733,60.0071,20753.9503,40.9375,209.7157,179.8796,1489.615,467.1185,1152.5429,1748.3988
2026-03-10,momentum-T2-size5,combinator-standard,2,101.9573,123.2132,82.9341,18724.2222,79.087,171.0289,170.4617,1210.0921,919.2607,907.3322,1943.1323
2026-03-10,momentum-T2-size10,combinator-standard,2,103.802,128.0264,78.7161,19114.0636,68.3404,175.3274,178.0633,1284.8839,789.4542,993.0159,1856.0406
2026-03-10,momentum-T2-size25,combinator-standard,2,108.6989,139.6936,66.9247,19950.0484,43.5698,188.223,193.9596,1469.8445,493.7292,1202.6019,1610.4388
2026-03-10,momentum-T2-size50,combinator-standard,2,114.9519,152.8176,49.9949,20636.412,19.6968,209.7157,204.7381,1692.0117,215.6274,1425.4384,1250.9133
2026-03-10,momentum-T4-size5,combinator-standard,4,101.9573,128.5698,79.8827,19230.3282,67.586,176.9047,180.0216,1247.6723,825.4636,955.217,1911.7333
2026-03-10,momentum-T4-size10,combinator-standard,4,103.802,136.6798,72.9932,19893.7988,49.8009,186.1826,193.8783,1337.3203,635.6169,1083.535,1791.1732
2026-03-10,momentum-T4-size25,combinator-standard,4,108.6989,149.7011,55.1986,20883.2039,19.42,209.625,216.7733,1491.5203,283.8535,1397.1971,1445.0753
2026-03-10,momentum-T4-size50,combinator-standard,4,114.9519,151.2223,33.5311,21400.1578,3.6814,238.3238,225.6186,1586.286,68.3315,1748.5114,958.3709
2026-03-10,momentum-T6-size5,combinator-standard,6,103.511,133.1852,77.6003,19463.0481,63.2641,181.1522,185.3814,1279.2016,724.9606,993.5036,1833.8489
2026-03-10,momentum-T6-size10,combinator-standard,6,106.6751,143.7064,68.8522,20090.7855,43.6017,194.3012,200.3859,1379.5327,489.4218,1156.5776,1646.6859
2026-03-10,momentum-T6-size25,combinator-standard,6,114.3469,157.4878,47.5411,20295.6035,13.8455,227.5722,214.4532,1514.9784,145.716,1559.5309,1163.823
2026-03-10,momentum-T6-size50,combinator-standard,6,122.3769,155.6186,24.5747,18984.278,1.8314,268.6137,199.7412,1559.8575,17.1595,2033.2781,610.4302
2026-03-10,haiku-T1-size20,haiku-only,1,100.0,135.9172,78.9927,20706.4327,73.0037,189.3601,178.9039,1126.9782,507.8429,1039.2708,2032.9037
2026-03-10,haiku-T1-size40,haiku-only,1,100.0,150.7196,70.6852,20899.3391,57.4836,210.3332,184.9735,1126.9782,226.819,1219.3299,2032.9037
2026-03-10,haiku-T1-size60,haiku-only,1,100.0,163.1303,62.3777,20293.8552,44.4942,229.6493,184.5062,1126.9782,94.0582,1358.9578,2032.9037
2026-03-10,haiku-T1-size80,haiku-only,1,100.0,173.8897,54.0703,19574.2921,33.7561,247.3084,180.8187,1126.9782,35.6538,1463.8846,2032.9037
2026-03-11,momentum-T1-size5,combinator-standard,1,100.0,121.5484,84.3413,18511.7628,84.7783,173.5734,163.8444,1179.1669,987.9517,861.8409,1972.3018
2026-03-11,momentum-T1-size10,combinator-standard,1,100.0,125.2197,81.4335,18760.8948,78.5899,180.3442,166.1144,1227.3424,912.8204,907.0973,1912.6125
2026-03-11,momentum-T1-size25,combinator-standard,1,100.0,135.9808,73.0161,19508.2906,62.1549,200.2232,172.1652,1349.6442,715.7525,1021.6081,1739.0211
2026-03-11,momentum-T1-size50,combinator-standard,1,100.0,153.0733,60.0071,20753.9503,40.9375,231.9103,179.8796,1489.615,467.1185,1152.5429,1467.9556
2026-03-11,momentum-T2-size5,combinator-standard,2,101.9573,123.2132,82.9341,18724.2222,79.087,175.7197,170.4617,1210.0921,904.5847,907.3322,1911.9645
2026-03-11,momentum-T2-size10,combinator-standard,2,103.802,128.0264,78.7161,19114.0636,68.3404,183.8596,178.0633,1284.8839,764.2469,993.0159,1796.4988
2026-03-11,momentum-T2-size25,combinator-standard,2,108.6989,139.6936,66.9247,19950.0484,43.5698,204.4173,193.9596,1469.8445,454.3173,1202.6019,1481.2816
2026-03-11,momentum-T2-size50,combinator-standard,2,114.9519,152.8176,49.9949,20636.412,19.6968,230.812,204.7381,1692.0117,181.2025,1425.4384,1050.2668
2026-03-11,momentum-T4-size5,combinator-standard,4,101.9573,128.5698,79.8827,19230.3282,66.5364,183.2028,180.0216,1263.4515,812.2851,955.217,1852.0724
2026-03-11,momentum-T4-size10,combinator-standard,4,103.802,136.6798,72.9932,19893.7988,48.2541,196.5677,193.8783,1366.4066,615.3217,1083.535,1680.262
2026-03-11,momentum-T4-size25,combinator-standard,4,108.6989,149.7011,55.1986,20883.2039,17.912,224.9234,216.7733,1547.2691,261.1949,1397.1971,1226.7337
2026-03-11,momentum-T4-size50,combinator-standard,4,114.9519,151.2223,33.5311,21400.1578,3.1097,253.1637,225.6186,1653.7835,57.4224,1748.5114,680.6117
2026-03-11,momentum-T6-size5,combinator-standard,6,103.511,133.1852,77.6003,19463.0481,61.3533,186.9884,185.3814,1317.1387,702.4432,993.5036,1776.6187
2026-03-11,momentum-T6-size10,combinator-standard,6,106.6751,143.7064,68.8522,20090.7855,40.988,203.2683,200.3859,1436.8821,459.2586,1156.5776,1544.7215
