date,base_currency,EUR,USD,GBP,JPY,CHF,AUD,CAD,NOK,SEK,CNY,MXN
2026-03-04,EUR,1.0,1.159866,0.869912,182.725486,0.906852,1.654396,1.587397,11.236542,10.768122,8.027204,20.531107
2026-03-04,USD,0.862169,1.0,0.75001,157.540184,0.78186,1.426368,1.368604,9.687794,9.283937,6.920804,17.701277
2026-03-04,GBP,1.149542,1.333315,1.0,210.050644,1.042465,1.901798,1.82478,12.916879,12.37841,9.227609,23.601373
2026-03-04,JPY,0.005473,0.006348,0.004761,1.0,0.004963,0.009054,0.008687,0.061494,0.058931,0.04393,0.11236
2026-03-04,CHF,1.102715,1.279002,0.959265,201.494168,1.0,1.824327,1.750447,12.390706,11.874172,8.85172,22.639963
2026-03-04,AUD,0.60445,0.701081,0.525818,110.448464,0.548147,1.0,0.959503,6.791931,6.508794,4.852045,12.410033
2026-03-04,CAD,0.629962,0.730672,0.548011,115.110123,0.571283,1.042207,1.0,7.078595,6.783508,5.056834,12.933818
2026-03-04,NOK,0.088995,0.103223,0.077418,16.261719,0.080706,0.147234,0.141271,1.0,0.958313,0.714384,1.827173
2026-03-04,SEK,0.092867,0.107713,0.080786,16.969113,0.084216,0.153638,0.147416,1.043501,1.0,0.74546,1.906656
2026-03-04,CNY,0.124576,0.144492,0.10837,22.763279,0.112972,0.206099,0.197752,1.399808,1.341454,1.0,2.557691
2026-03-04,MXN,0.048707,0.056493,0.04237,8.899933,0.04417,0.08058,0.077317,0.547294,0.524478,0.390978,1.0
2026-03-05,EUR,1.0,1.16238,0.86998,182.351,0.906364,1.645397,1.586159,11.197363,10.675587,8.009042,20.490846
2026-03-05,USD,0.860304,1.0,0.748447,156.877317,0.779748,1.415541,1.364579,9.633137,9.184252,6.890212,17.62836
2026-03-05,GBP,1.149452,1.3361,1.0,209.603718,1.041821,1.891304,1.823214,12.870831,12.271075,9.20601,23.553244
2026-03-05,JPY,0.005484,0.006374,0.004771,1.0,0.00497,0.009023,0.008698,0.061406,0.058544,0.043921,0.11237
2026-03-05,CHF,1.10331,1.282465,0.959857,201.189664,1.0,1.815382,1.750025,12.354161,11.778481,8.836456,22.607754
2026-03-05,AUD,0.607756,0.706443,0.528736,110.824953,0.550848,1.0,0.963998,6.805267,6.488155,4.867545,12.453439
2026-03-05,CAD,0.630454,0.732827,0.548482,114.963868,0.57142,1.037346,1.0,7.059419,6.730464,5.049331,12.918531
2026-03-05,NOK,0.089307,0.103808,0.077695,16.285174,0.080944,0.146945,0.141655,1.0,0.953402,0.715261,1.829971
2026-03-05,SEK,0.093672,0.108882,0.081492,17.081121,0.084901,0.154127,0.148578,1.048876,1.0,0.75022,1.919412
2026-03-05,CNY,0.124859,0.145133,0.108625,22.76814,0.113168,0.205442,0.198046,1.39809,1.332942,1.0,2.558464
2026-03-05,MXN,0.048802,0.056727,0.042457,8.899144,0.044233,0.080299,0.077408,0.546457,0.520993,0.39086,1.0
2026-03-06,EUR,1.0,1.16238,0.86998,182.351,0.906364,1.645397,1.586159,11.197363,10.675587,8.009042,20.490846
2026-03-06,USD,0.860304,1.0,0.748447,156.877317,0.779748,1.415541,1.364579,9.633137,9.184252,6.890212,17.62836
2026-03-06,GBP,1.149452,1.3361,1.0,209.603718,1.041821,1.891304,1.823214,12.870831,12.271075,9.20601,23.553244
2026-03-06,JPY,0.005484,0.006374,0.004771,1.0,0.00497,0.009023,0.008698,0.061406,0.058544,0.043921,0.11237
2026-03-06,CHF,1.10331,1.282465,0.959857,201.189664,1.0,1.815382,1.750025,12.354161,11.778481,8.836456,22.607754
2026-03-06,AUD,0.607756,0.706443,0.528736,110.824953,0.550848,1.0,0.963998,6.805267,6.488155,4.867545,12.453439
2026-03-06,CAD,0.630454,0.732827,0.548482,114.963868,0.57142,1.037346,1.0,7.059419,6.730464,5.049331,12.918531
2026-03-06,NOK,0.089307,0.103808,0.077695,16.285174,0.080944,0.146945,0.141655,1.0,0.953402,0.715261,1.829971
2026-03-06,SEK,0.093672,0.108882,0.081492,17.081121,0.084901,0.154127,0.148578,1.048876,1.0,0.75022,1.919412
2026-03-06,CNY,0.124859,0.145133,0.108625,22.76814,0.113168,0.205442,0.198046,1.39809,1.332942,1.0,2.558464
2026-03-06,MXN,0.048802,0.056727,0.042457,8.899144,0.044233,0.080299,0.077408,0.546457,0.520993,0.39086,1.0
2026-03-07,EUR,1.0,1.161958,0.869144,182.999191,0.906642,1.651146,1.586982,11.225663,10.706876,8.02017,20.536396
2026-03-07,USD,0.860616,1.0,0.747999,157.492082,0.780271,1.421003,1.365782,9.660988,9.214511,6.902289,17.673957
2026-03-07,GBP,1.150558,1.3369,1.0,210.551177,1.043144,1.899739,1.825915,12.915776,12.318881,9.227671,23.628314
2026-03-07,JPY,0.005465,0.00635,0.004749,1.0,0.004954,0.009023,0.008672,0.061343,0.058508,0.043826,0.112221
2026-03-07,CHF,1.102971,1.281607,0.95864,201.842879,1.0,1.821167,1.750396,12.381585,11.809378,8.846018,22.651058
2026-03-07,AUD,0.60564,0.703728,0.526388,110.83163,0.549099,1.0,0.96114,6.79871,6.484512,4.857336,12.437663
2026-03-07,CAD,0.630127,0.732181,0.547671,115.312715,0.571299,1.040431,1.0,7.073592,6.74669,5.053725,12.940536
2026-03-07,NOK,0.089082,0.103509,0.077425,16.301861,0.080765,0.147087,0.141371,1.0,0.953786,0.71445,1.829415
2026-03-07,SEK,0.093398,0.108524,0.081176,17.091745,0.084678,0.154214,0.148221,1.048454,1.0,0.749067,1.918057
2026-03-07,CNY,0.124686,0.144879,0.10837,22.81737,0.113045,0.205874,0.197874,1.399679,1.334994,1.0,2.560594
2026-03-07,MXN,0.048694,0.05658,0.042322,8.910969,0.044148,0.080401,0.077277,0.546623,0.521361,0.390534,1.0
2026-03-08,EUR,1.0,1.161941,0.866335,183.337249,0.902777,1.652681,1.576377,11.136274,10.664744,8.021002,20.725488
2026-03-08,USD,0.860629,1.0,0.745593,157.785349,0.776956,1.422345,1.356676,9.5842,9.178387,6.903107,17.836956
2026-03-08,GBP,1.154288,1.341215,1.0,211.624056,1.042065,1.907671,1.819593,12.854471,12.31019,9.25855,23.92319
2026-03-08,JPY,0.005454,0.006338,0.004725,1.0,0.004924,0.009014,0.008598,0.060742,0.05817,0.04375,0.113046
2026-03-08,CHF,1.107693,1.287074,0.959633,203.081392,1.0,1.830663,1.746142,12.335573,11.813262,8.884808,22.957479
2026-03-08,AUD,0.605077,0.703064,0.524199,110.93322,0.54625,1.0,0.95383,6.738307,6.452995,4.853327,12.540524
2026-03-08,CAD,0.634366,0.737096,0.549573,116.302938,0.572691,1.048405,1.0,7.064475,6.765352,5.088252,13.147547
2026-03-08,NOK,0.089797,0.104338,0.077794,16.46307,0.081066,0.148405,0.141553,1.0,0.957658,0.720259,1.861079
2026-03-08,SEK,0.093767,0.108952,0.081234,17.190966,0.084651,0.154967,0.147812,1.044214,1.0,0.752105,1.943365
2026-03-08,CNY,0.124673,0.144862,0.108008,22.857149,0.112552,0.206044,0.196531,1.388389,1.329602,1.0,2.583903
2026-03-08,MXN,0.04825,0.056063,0.0418,8.84598,0.043559,0.079741,0.07606,0.537323,0.514571,0.387012,1.0
2026-03-09,EUR,1.0,1.161941,0.866335,183.337249,0.902777,1.652681,1.576377,11.136274,10.664744,8.021002,20.725488
2026-03-09,USD,0.860629,1.0,0.745593,157.785349,0.776956,1.422345,1.356676,9.5842,9.178387,6.903107,17.836956
2026-03-09,GBP,1.154288,1.341215,1.0,211.624056,1.042065,1.907671,1.819593,12.854471,12.31019,9.25855,23.92319
2026-03-09,JPY,0.005454,0.006338,0.004725,1.0,0.004924,0.009014,0.008598,0.060742,0.05817,0.04375,0.113046
2026-03-09,CHF,1.107693,1.287074,0.959633,203.081392,1.0,1.830663,1.746142,12.335573,11.813262,8.884808,22.957479
2026-03-09,AUD,0.605077,0.703064,0.524199,110.93322,0.54625,1.0,0.95383,6.738307,6.452995,4.853327,12.540524
2026-03-09,CAD,0.634366,0.737096,0.549573,116.302938,0.572691,1.048405,1.0,7.064475,6.765352,5.088252,13.147547
2026-03-09,NOK,0.089797,0.104338,0.077794,16.46307,0.081066,0.148405,0.141553,1.0,0.957658,0.720259,1.861079
2026-03-09,SEK,0.093767,0.108952,0.081234,17.190966,0.084651,0.154967,0.147812,1.044214,1.0,0.752105,1.943365
2026-03-09,CNY,0.124673,0.144862,0.108008,22.857149,0.112552,0.206044,0.196531,1.388389,1.329602,1.0,2.583903
2026-03-09,MXN,0.04825,0.056063,0.0418,8.84598,0.043559,0.079741,0.07606,0.537323,0.514571,0.387012,1.0
