date,currency,index,30d_max_diff
2026-02-24,EUR,100.0,0.0
2026-02-24,USD,100.0,0.0
2026-02-24,GBP,100.0,0.0
2026-02-24,JPY,100.0,0.0
2026-02-24,CHF,100.0,0.0
2026-02-24,AUD,100.0,0.0
2026-02-24,CAD,100.0,0.0
2026-02-24,NOK,100.0,0.0
2026-02-24,SEK,100.0,0.0
2026-02-24,CNY,100.0,0.0
2026-02-24,MXN,100.0,0.0
2026-02-25,EUR,100.137319,0.1373
2026-02-25,USD,100.172617,0.1726
2026-02-25,GBP,100.054616,0.0546
2026-02-25,JPY,100.590396,0.5904
2026-02-25,CHF,99.878192,0.1218
2026-02-25,AUD,99.884649,0.1154
2026-02-25,CAD,100.100589,0.1006
2026-02-25,NOK,99.995805,0.0042
2026-02-25,SEK,99.739321,0.2607
2026-02-25,CNY,99.775993,0.224
2026-02-25,MXN,99.67564,0.3244
2026-02-26,EUR,100.018362,0.1373
2026-02-26,USD,100.355124,0.3551
2026-02-26,GBP,99.833445,0.2212
2026-02-26,JPY,101.023227,1.0232
2026-02-26,CHF,99.845979,0.154
2026-02-26,AUD,99.535173,0.4648
2026-02-26,CAD,100.092872,0.1006
2026-02-26,NOK,100.123672,0.1279
2026-02-26,SEK,99.80196,0.2607
2026-02-26,CNY,99.532651,0.4673
2026-02-26,MXN,99.849303,0.3244
2026-02-27,EUR,100.035242,0.1373
2026-02-27,USD,100.167953,0.3551
2026-02-27,GBP,100.268493,0.435
2026-02-27,JPY,100.756928,1.0232
2026-02-27,CHF,99.919841,0.154
2026-02-27,AUD,99.430285,0.5697
2026-02-27,CAD,99.946498,0.1541
2026-02-27,NOK,100.058338,0.1279
2026-02-27,SEK,100.050846,0.3115
2026-02-27,CNY,99.571741,0.4673
2026-02-27,MXN,99.804709,0.3244
2026-02-28,EUR,100.09783,0.1373
2026-02-28,USD,100.306108,0.3551
2026-02-28,GBP,100.381479,0.548
2026-02-28,JPY,101.066092,1.0661
2026-02-28,CHF,99.47506,0.5249
2026-02-28,AUD,99.479458,0.5697
2026-02-28,CAD,99.853739,0.2468
2026-02-28,NOK,99.691812,0.4319
2026-02-28,SEK,99.88191,0.3115
2026-02-28,CNY,99.686018,0.4673
2026-02-28,MXN,100.099696,0.4241
2026-03-01,EUR,99.987513,0.1498
2026-03-01,USD,100.296067,0.3551
2026-03-01,GBP,100.402745,0.5693
2026-03-01,JPY,101.055494,1.0661
2026-03-01,CHF,99.451069,0.5489
2026-03-01,AUD,99.590775,0.5697
2026-03-01,CAD,99.849291,0.2513
2026-03-01,NOK,99.670572,0.4531
2026-03-01,SEK,99.868626,0.3115
2026-03-01,CNY,99.668283,0.4673
2026-03-01,MXN,100.178013,0.5024
2026-03-02,EUR,100.136754,0.1498
2026-03-02,USD,100.156425,0.3551
2026-03-02,GBP,100.608815,0.7754
2026-03-02,JPY,101.122379,1.1224
2026-03-02,CHF,99.228938,0.7711
2026-03-02,AUD,99.600173,0.5697
2026-03-02,CAD,99.741044,0.3595
2026-03-02,NOK,99.591577,0.5321
2026-03-02,SEK,100.01027,0.3115
2026-03-02,CNY,99.70982,0.4673
2026-03-02,MXN,100.116954,0.5024
2026-03-03,EUR,100.447245,0.4597
2026-03-03,USD,99.640394,0.7147
2026-03-03,GBP,100.374615,0.7754
2026-03-03,JPY,101.22701,1.227
2026-03-03,CHF,100.233752,1.0048
2026-03-03,AUD,99.076885,0.9231
2026-03-03,CAD,99.335817,0.7648
2026-03-03,NOK,99.561303,0.5624
2026-03-03,SEK,100.784,1.0447
2026-03-03,CNY,99.397631,0.6024
2026-03-03,MXN,99.962968,0.5024
2026-03-04,EUR,100.487774,0.5003
2026-03-04,USD,98.755777,1.5993
2026-03-04,GBP,100.097231,0.7754
2026-03-04,JPY,100.547326,1.227
2026-03-04,CHF,99.683432,1.0048
2026-03-04,AUD,99.631645,0.9231
2026-03-04,CAD,98.637728,1.4629
2026-03-04,NOK,100.161529,0.6002
2026-03-04,SEK,101.373022,1.6337
2026-03-04,CNY,99.130818,0.8692
2026-03-04,MXN,101.58575,1.9101
2026-03-05,EUR,100.718441,0.7309
2026-03-05,USD,99.217517,1.5993
2026-03-05,GBP,100.335904,0.7754
2026-03-05,JPY,100.55145,1.227
2026-03-05,CHF,99.852542,1.0048
2026-03-05,AUD,99.263065,0.9231
2026-03-05,CAD,98.779719,1.4629
2026-03-05,NOK,100.007028,0.6002
2026-03-05,SEK,100.645844,1.6337
2026-03-05,CNY,99.111677,0.8883
2026-03-05,MXN,101.599833,1.9242
2026-03-06,EUR,100.718441,0.7309
2026-03-06,USD,99.217517,1.5993
2026-03-06,GBP,100.335904,0.7754
2026-03-06,JPY,100.55145,1.227
2026-03-06,CHF,99.852542,1.0048
2026-03-06,AUD,99.263065,0.9231
2026-03-06,CAD,98.779719,1.4629
2026-03-06,NOK,100.007028,0.6002
2026-03-06,SEK,100.645844,1.6337
2026-03-06,CNY,99.111677,0.8883
2026-03-06,MXN,101.599833,1.9242
2026-03-07,EUR,100.562424,0.7309
2026-03-07,USD,99.024707,1.5993
2026-03-07,GBP,100.072642,0.7754
2026-03-07,JPY,100.787472,1.227
2026-03-07,CHF,99.730668,1.0048
2026-03-07,AUD,99.490148,0.9231
2026-03-07,CAD,98.682633,1.4629
2026-03-07,NOK,100.128902,0.6002
2026-03-07,SEK,100.813193,1.6337
2026-03-07,CNY,99.108528,0.8915
2026-03-07,MXN,101.689704,2.0141
2026-03-08,EUR,100.703993,0.7309
2026-03-08,USD,99.163898,1.5993
2026-03-08,GBP,99.859027,0.7754
2026-03-08,JPY,101.136089,1.227
2026-03-08,CHF,99.405066,1.0048
2026-03-08,AUD,99.732811,0.9231
2026-03-08,CAD,98.096568,2.004
2026-03-08,NOK,99.393272,0.7683
2026-03-08,SEK,100.519764,1.6337
2026-03-08,CNY,99.261097,0.8915
2026-03-08,MXN,102.865872,3.1902
2026-03-09,EUR,100.703993,0.7309
2026-03-09,USD,99.163898,1.5993
2026-03-09,GBP,99.859027,0.7754
2026-03-09,JPY,101.136089,1.227
2026-03-09,CHF,99.405066,1.0048
2026-03-09,AUD,99.732811,0.9231
2026-03-09,CAD,98.096568,2.004
2026-03-09,NOK,99.393272,0.7683
2026-03-09,SEK,100.519764,1.6337
2026-03-09,CNY,99.261097,0.8915
2026-03-09,MXN,102.865872,3.1902
2026-03-10,EUR,100.980293,0.9928
2026-03-10,USD,98.567731,1.7874
2026-03-10,GBP,100.132087,0.7754
2026-03-10,JPY,101.137545,1.227
2026-03-10,CHF,99.406912,1.0048
2026-03-10,AUD,99.814536,0.9231
2026-03-10,CAD,97.542162,2.5584
2026-03-10,NOK,99.347276,0.8143
2026-03-10,SEK,101.15956,1.6337
2026-03-10,CNY,98.921186,1.0788
2026-03-10,MXN,103.175278,3.4996
2026-03-11,EUR,101.006627,1.0191
2026-03-11,USD,99.470673,1.7874
2026-03-11,GBP,99.951753,0.7754
2026-03-11,JPY,101.875811,1.8758
2026-03-11,CHF,99.867691,1.0048
2026-03-11,AUD,98.286361,1.7136
2026-03-11,CAD,98.426683,2.5584
2026-03-11,NOK,100.15607,0.8143
2026-03-11,SEK,100.69932,1.6337
2026-03-11,CNY,99.042185,1.0788
2026-03-11,MXN,101.387546,3.4996
2026-03-12,EUR,101.2893,1.3018
2026-03-12,USD,98.933008,1.7874
2026-03-12,GBP,99.985082,0.7754
2026-03-12,JPY,101.814661,1.8758
2026-03-12,CHF,99.899671,1.0048
2026-03-12,AUD,97.908623,2.0914
2026-03-12,CAD,98.028997,2.5584
2026-03-12,NOK,100.164066,0.8168
2026-03-12,SEK,101.364606,1.6337
2026-03-12,CNY,98.647042,1.353
2026-03-12,MXN,102.188509,3.4996
