date,currency,generator_id,estimator_id,index,signal_count,penalty_factor,avg_signal,factored_avg_signal
2026-02-24,AUD,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,100.0,3,0.866,0.0067,0.0058
2026-02-24,AUD,llm-sentiment-v1-haiku,llm-horizon-v1-default,100.0,3,0.866,0.3667,0.3175
2026-02-24,CAD,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,100.0,1,0.5,-0.05,-0.025
2026-02-24,CAD,llm-sentiment-v1-haiku,llm-horizon-v1-default,100.0,1,0.5,-0.25,-0.125
2026-02-24,CHF,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,100.0,1,0.5,-0.2,-0.1
2026-02-24,CHF,llm-sentiment-v1-haiku,llm-horizon-v1-default,100.0,1,0.5,-0.7,-0.35
2026-02-24,CNY,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,100.0,2,0.7071,0.1,0.0707
2026-02-24,CNY,llm-sentiment-v1-haiku,llm-horizon-v1-default,100.0,3,0.866,-0.0167,-0.0144
2026-02-24,EUR,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,100.0,4,1.0,-0.08,-0.08
2026-02-24,EUR,llm-sentiment-v1-haiku,llm-horizon-v1-default,100.0,5,1.0,0.14,0.14
2026-02-24,GBP,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,100.0,4,1.0,-0.0625,-0.0625
2026-02-24,GBP,llm-sentiment-v1-haiku,llm-horizon-v1-default,100.0,4,1.0,-0.1325,-0.1325
2026-02-24,JPY,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,100.0,1,0.5,0.08,0.04
2026-02-24,USD,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,100.0,16,1.0,-0.03,-0.03
2026-02-24,USD,llm-sentiment-v1-haiku,llm-horizon-v1-default,100.0,19,1.0,-0.0068,-0.0068
2026-02-25,AUD,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,99.8846,5,1.0,0.004,0.004
2026-02-25,AUD,llm-sentiment-v1-haiku,llm-horizon-v1-default,99.8846,6,1.0,0.4,0.4
