date,strategy_id,trader_id,sell_currency,buy_currency,sell_amount,buy_amount,exchange_rate,spread_pct,trade_size_eur,cost_eur,trade_signal
2026-02-24,momentum-T1-size5,combinator-standard,CHF,AUD,1.0967,1.9868,1.825187,0.0074,1.2,0.01,0.2401
2026-02-24,momentum-T1-size10,combinator-standard,CHF,AUD,2.1933,3.9736,1.825187,0.0074,2.4,0.02,0.2401
2026-02-24,momentum-T1-size25,combinator-standard,CHF,AUD,5.4833,9.9339,1.825187,0.0074,6.0,0.04,0.2401
2026-02-24,momentum-T1-size50,combinator-standard,CHF,AUD,10.9665,19.8679,1.825187,0.0074,12.01,0.09,0.2401
2026-02-24,momentum-T2-size5,combinator-standard,CHF,AUD,1.0967,1.9868,1.825187,0.0074,1.2,0.01,0.2401
2026-02-24,momentum-T2-size5,combinator-standard,CHF,EUR,0.7523,0.8174,1.094694,0.0074,0.82,0.01,0.1667
2026-02-24,momentum-T2-size10,combinator-standard,CHF,AUD,2.1933,3.9736,1.825187,0.0074,2.4,0.02,0.2401
2026-02-24,momentum-T2-size10,combinator-standard,CHF,EUR,1.4862,1.6149,1.094694,0.0074,1.63,0.01,0.1667
2026-02-24,momentum-T2-size25,combinator-standard,CHF,AUD,5.4833,9.9339,1.825187,0.0074,6.0,0.04,0.2401
2026-02-24,momentum-T2-size25,combinator-standard,CHF,EUR,3.5785,3.8884,1.094694,0.0074,3.92,0.03,0.1667
2026-02-24,momentum-T2-size50,combinator-standard,CHF,AUD,10.9665,19.8679,1.825187,0.0074,12.01,0.09,0.2401
2026-02-24,momentum-T2-size50,combinator-standard,CHF,EUR,6.6999,7.2801,1.094694,0.0074,7.33,0.05,0.1667
2026-02-24,momentum-T4-size5,combinator-standard,CHF,AUD,1.0967,1.9868,1.825187,0.0074,1.2,0.01,0.2401
2026-02-24,momentum-T4-size5,combinator-standard,CHF,EUR,0.7523,0.8174,1.094694,0.0074,0.82,0.01,0.1667
2026-02-24,momentum-T4-size5,combinator-standard,GBP,AUD,0.7045,1.3356,1.909851,0.0074,0.81,0.01,0.1614
2026-02-24,momentum-T4-size5,combinator-standard,CHF,JPY,0.686,136.1349,199.919914,0.0074,0.75,0.01,0.1533
2026-02-24,momentum-T4-size10,combinator-standard,CHF,AUD,2.1933,3.9736,1.825187,0.0074,2.4,0.02,0.2401
2026-02-24,momentum-T4-size10,combinator-standard,CHF,EUR,1.4862,1.6149,1.094694,0.0074,1.63,0.01,0.1667
2026-02-24,momentum-T4-size10,combinator-standard,GBP,AUD,1.409,2.6711,1.909851,0.0074,1.61,0.01,0.1614
2026-02-24,momentum-T4-size10,combinator-standard,CHF,JPY,1.344,266.7008,199.919914,0.0074,1.47,0.01,0.1533
2026-02-24,momentum-T4-size25,combinator-standard,CHF,AUD,5.4833,9.9339,1.825187,0.0074,6.0,0.04,0.2401
2026-02-24,momentum-T4-size25,combinator-standard,CHF,EUR,3.5785,3.8884,1.094694,0.0074,3.92,0.03,0.1667
2026-02-24,momentum-T4-size25,combinator-standard,GBP,AUD,3.5226,6.6778,1.909851,0.0074,4.04,0.03,0.1614
2026-02-24,momentum-T4-size25,combinator-standard,CHF,JPY,3.1537,625.819,199.919914,0.0074,3.45,0.03,0.1533
2026-02-24,momentum-T4-size50,combinator-standard,CHF,AUD,10.9665,19.8679,1.825187,0.0074,12.01,0.09,0.2401
2026-02-24,momentum-T4-size50,combinator-standard,CHF,EUR,6.6999,7.2801,1.094694,0.0074,7.33,0.05,0.1667
2026-02-24,momentum-T4-size50,combinator-standard,GBP,AUD,7.0451,13.3556,1.909851,0.0074,8.07,0.06,0.1614
2026-02-24,momentum-T4-size50,combinator-standard,CHF,JPY,5.6478,1120.7562,199.919914,0.0074,6.18,0.05,0.1533
2026-02-24,momentum-T6-size5,combinator-standard,CHF,AUD,1.0967,1.9868,1.825187,0.0074,1.2,0.01,0.2401
2026-02-24,momentum-T6-size5,combinator-standard,CHF,EUR,0.7523,0.8174,1.094694,0.0074,0.82,0.01,0.1667
2026-02-24,momentum-T6-size5,combinator-standard,GBP,AUD,0.7045,1.3356,1.909851,0.0074,0.81,0.01,0.1614
2026-02-24,momentum-T6-size5,combinator-standard,CHF,JPY,0.686,136.1349,199.919914,0.0074,0.75,0.01,0.1533
2026-02-24,momentum-T6-size5,combinator-standard,CAD,AUD,1.2318,1.2627,1.032748,0.0074,0.76,0.01,0.1526
2026-02-24,momentum-T6-size5,combinator-standard,CHF,CNY,0.623,5.5019,8.896597,0.0074,0.68,0.01,0.1403
2026-02-24,momentum-T6-size10,combinator-standard,CHF,AUD,2.1933,3.9736,1.825187,0.0074,2.4,0.02,0.2401
2026-02-24,momentum-T6-size10,combinator-standard,CHF,EUR,1.4862,1.6149,1.094694,0.0074,1.63,0.01,0.1667
2026-02-24,momentum-T6-size10,combinator-standard,GBP,AUD,1.409,2.6711,1.909851,0.0074,1.61,0.01,0.1614
2026-02-24,momentum-T6-size10,combinator-standard,CHF,JPY,1.344,266.7008,199.919914,0.0074,1.47,0.01,0.1533
2026-02-24,momentum-T6-size10,combinator-standard,CAD,AUD,2.4636,2.5255,1.032748,0.0074,1.53,0.01,0.1526
2026-02-24,momentum-T6-size10,combinator-standard,CHF,CNY,1.2112,10.6954,8.896597,0.0074,1.33,0.01,0.1403
2026-02-24,momentum-T6-size25,combinator-standard,CHF,AUD,5.4833,9.9339,1.825187,0.0074,6.0,0.04,0.2401
2026-02-24,momentum-T6-size25,combinator-standard,CHF,EUR,3.5785,3.8884,1.094694,0.0074,3.92,0.03,0.1667
2026-02-24,momentum-T6-size25,combinator-standard,GBP,AUD,3.5226,6.6778,1.909851,0.0074,4.04,0.03,0.1614
2026-02-24,momentum-T6-size25,combinator-standard,CHF,JPY,3.1537,625.819,199.919914,0.0074,3.45,0.03,0.1533
2026-02-24,momentum-T6-size25,combinator-standard,CAD,AUD,6.1591,6.3137,1.032748,0.0074,3.82,0.03,0.1526
